daytype,date,ridership,route,month_beginning,avg_weekday_rides,monthtotal,routename,avg_saturday_rides,avg_sunday_holiday_rides
W,2001-01-02,15628,77,2001-01-01,19856.3,529774.0,Belmont,12733.9,8400.0
W,2001-01-02,4297,49B,2001-01-01,5087.6,133958.0,North Western,3065.0,1954.1
W,2001-01-03,3357,97,2001-01-01,3681.4,95096.0,Skokie,2066.7,1167.5
W,2001-01-03,9009,94,2001-01-01,10603.7,269786.0,South California,4792.6,3467.0
W,2001-01-04,19424,3,2001-01-01,21406.5,567413.0,King Drive,13210.7,8725.3
W,2001-01-04,6539,92,2001-01-01,7414.5,191196.0,Foster,4123.2,2316.9
W,2001-01-03,3810,119,2001-01-01,5171.2,147205.0,Michigan/119th,4747.3,2890.1
W,2001-01-03,1791,81W,2001-01-01,1577.3,39738.0,West Lawrence,837.2,337.6
W,2001-01-04,2777,112,2001-01-01,3874.0,95661.0,Vincennes/111th,1439.3,935.1
W,2001-01-03,1428,88,2001-01-01,1721.8,43101.0,Higgins,650.3,523.9
W,2001-01-05,255,19,2001-01-01,322.0,6273.0,United Center Express,327.1,368.4
W,2001-01-02,16697,3,2001-01-01,21406.5,567413.0,King Drive,13210.7,8725.3
W,2001-01-02,1251,106,2001-01-01,2317.8,55265.0,East 103rd,570.3,398.4
W,2001-01-02,307,49A,2001-01-01,333.3,7332.0,South Western,0.0,0.0
W,2001-01-02,4488,111,2001-01-01,6074.4,157849.0,Pullman/111th/115th,3474.9,2062.4
W,2001-01-02,9121,28,2001-01-01,11964.9,336246.0,Stony Island,11269.6,5587.8
W,2001-01-02,12005,72,2001-01-01,15417.4,418889.0,North,11359.3,6853.7
W,2001-01-03,8918,70,2001-01-01,11102.5,301077.0,Division,7625.8,5264.0
W,2001-01-02,3500,73,2001-01-01,4994.3,127491.0,Armitage,2688.6,1372.4
W,2001-01-04,322,170,2001-01-01,287.1,6315.0,U. of Chicago/Midway,0.0,0.0
W,2001-01-04,3144,103,2001-01-01,3704.9,93121.0,West 103rd,1564.8,1071.0
W,2001-01-02,5559,91,2001-01-01,8583.5,218421.0,Austin,4415.0,2384.8
W,2001-01-03,19366,66,2001-01-01,21001.5,557759.0,Chicago,13332.8,8478.8
W,2001-01-05,467,17,2001-01-01,514.5,11319.0,Westchester,0.0,0.0
U,2001-01-01,3678,12,2001-01-01,10763.5,288055.0,Roosevelt,6950.6,4691.0
W,2001-01-03,9845,28,2001-01-01,11964.9,336246.0,Stony Island,11269.6,5587.8
W,2001-01-02,24797,9,2001-01-01,29265.4,811006.0,Ashland,22621.7,15336.1
W,2001-01-02,1233,96,2001-01-01,1343.2,29550.0,Lunt,0.0,0.0
W,2001-01-02,3035,157,2001-01-01,3315.2,72933.0,Streeterville/Taylor,0.0,0.0
W,2001-01-03,11896,67,2001-01-01,14219.5,387336.0,67th-69th-71st,9844.6,7025.6
W,2001-01-04,582,120,2001-01-01,635.5,13982.0,Ogilvie/Wacker Express,0.0,0.0
U,2001-01-01,869,103,2001-01-01,3704.9,93121.0,West 103rd,1564.8,1071.0
W,2001-01-03,10791,55,2001-01-01,12778.5,350112.0,Garfield,9126.4,6495.9
W,2001-01-04,7689,91,2001-01-01,8583.5,218421.0,Austin,4415.0,2384.8
U,2001-01-01,843,84,2001-01-01,4357.5,111265.0,Peterson,2418.1,1145.6
W,2001-01-04,6603,155,2001-01-01,7283.4,198930.0,Devon,5229.9,3555.3
W,2001-01-04,283,90N,2001-01-01,318.9,7412.0,North Harlem,98.7,0.0
W,2001-01-03,7747,50,2001-01-01,8322.7,213128.0,Damen,4419.7,2470.1
W,2001-01-04,959,122,2001-01-01,1122.9,24705.0,Illinois Center/Ogilvie Express,0.0,0.0
W,2001-01-04,403,202,2001-01-01,480.1,10563.0,Main/Emerson,0.0,0.0
W,2001-01-03,1365,121,2001-01-01,1210.6,26633.0,Union/Wacker Express,0.0,0.0
W,2001-01-03,2036,63W,2001-01-01,2196.4,53094.0,West 63rd,720.5,378.2
U,2001-01-01,15,171,2001-01-01,864.9,21573.0,U. of Chicago/Hyde Park,413.2,178.3
W,2001-01-05,6297,21,2001-01-01,7423.7,218216.0,Cermak,7747.2,4781.0
W,2001-01-02,5778,53A,2001-01-01,9037.4,218700.0,South Pulaski,3198.0,1417.1
U,2001-01-01,4099,74,2001-01-01,12842.3,351804.0,Fullerton,9858.6,5968.0
W,2001-01-02,10984,55,2001-01-01,12778.5,350112.0,Garfield,9126.4,6495.9
U,2001-01-01,3966,80,2001-01-01,11837.8,319117.0,Irving Park,8077.1,5275.2
W,2001-01-03,403,56A,2001-01-01,568.5,11938.0,North Milwaukee,0.0,0.0
W,2001-01-04,21081,4,2001-01-01,22432.2,618796.0,Cottage Grove,17994.0,10662.2
W,2001-01-03,670,55N,2001-01-01,1071.8,24237.0,55th/Narragansett,164.4,0.0
U,2001-01-01,945,97,2001-01-01,3681.4,95096.0,Skokie,2066.7,1167.5
W,2001-01-02,8605,12,2001-01-01,10763.5,288055.0,Roosevelt,6950.6,4691.0
W,2001-01-03,177,19,2001-01-01,322.0,6273.0,United Center Express,327.1,368.4
W,2001-01-02,3735,X49,2001-01-01,5131.8,112899.0,Western Express,0.0,0.0
W,2001-01-03,13066,62,2001-01-01,14926.0,379135.0,Archer,6856.3,4667.4
U,2001-01-01,7877,22,2001-01-01,21206.2,577386.0,Clark,14634.5,10462.2
W,2001-01-04,893,201,2001-01-01,1275.3,31865.0,Central/Ridge,615.9,268.9
W,2001-01-03,353,64,2001-01-01,337.2,7419.0,Foster-Canfield,0.0,0.0
W,2001-01-04,530,64,2001-01-01,337.2,7419.0,Foster-Canfield,0.0,0.0
W,2001-01-02,8027,78,2001-01-01,8891.8,235297.0,Montrose,5826.3,3274.2
W,2001-01-03,4563,111,2001-01-01,6074.4,157849.0,Pullman/111th/115th,3474.9,2062.4
U,2001-01-01,1571,49B,2001-01-01,5087.6,133958.0,North Western,3065.0,1954.1
W,2001-01-03,985,204,2001-01-01,1445.4,31798.0,Dodge,0.0,0.0
W,2001-01-04,6483,7,2001-01-01,5504.4,121097.0,Harrison,0.0,0.0
W,2001-01-02,456,19,2001-01-01,322.0,6273.0,United Center Express,327.1,368.4
W,2001-01-02,876,123,2001-01-01,886.2,19495.0,Illinois Center/Union Express,0.0,0.0
W,2001-01-04,6211,71,2001-01-01,7136.7,194863.0,71st/South Shore,5565.3,3119.0
W,2001-01-04,12428,55,2001-01-01,12778.5,350112.0,Garfield,9126.4,6495.9
U,2001-01-01,5805,55,2001-01-01,12778.5,350112.0,Garfield,9126.4,6495.9
W,2001-01-03,14486,82,2001-01-01,19622.7,511235.0,Kimball-Homan,11451.6,6745.8
W,2001-01-02,70,25,2001-01-01,144.8,3186.0,West Cermak,0.0,0.0
W,2001-01-02,753,85A,2001-01-01,952.5,21550.0,North Central,148.7,0.0
W,2001-01-03,2971,30,2001-01-01,3823.5,95218.0,South Chicago,1960.2,652.2
U,2001-01-01,819,90,2001-01-01,3880.4,104289.0,Harlem,3002.1,1382.3
W,2001-01-02,4923,35,2001-01-01,5977.7,153931.0,35th,3342.5,1810.1
W,2001-01-04,2007,37,2001-01-01,2500.6,55014.0,Sedgwick,0.0,0.0
U,2001-01-01,1008,8A,2001-01-01,3196.5,89030.0,South Halsted,3006.6,1336.2
W,2001-01-02,3140,11,2001-01-01,3448.7,86887.0,Lincoln/Sedgwick,1667.3,869.5
W,2001-01-03,7320,78,2001-01-01,8891.8,235297.0,Montrose,5826.3,3274.2
W,2001-01-03,2506,18,2001-01-01,1923.8,49130.0,16th/18th,898.5,642.3
W,2001-01-02,7840,94,2001-01-01,10603.7,269786.0,South California,4792.6,3467.0
W,2001-01-02,2686,30,2001-01-01,3823.5,95218.0,South Chicago,1960.2,652.2
W,2001-01-04,775,55N,2001-01-01,1071.8,24237.0,55th/Narragansett,164.4,0.0
W,2001-01-02,2213,57,2001-01-01,3042.6,75668.0,Laramie,1412.8,616.1
W,2001-01-02,936,121,2001-01-01,1210.6,26633.0,Union/Wacker Express,0.0,0.0
U,2001-01-01,4675,54,2001-01-01,12138.9,334903.0,Cicero,9536.3,5940.5
W,2001-01-04,20265,22,2001-01-01,21206.2,577386.0,Clark,14634.5,10462.2
U,2001-01-01,4143,85,2001-01-01,13188.5,346996.0,Central,8148.9,4850.7
U,2001-01-01,1104,53A,2001-01-01,9037.4,218700.0,South Pulaski,3198.0,1417.1
W,2001-01-04,16796,6,2001-01-01,18443.0,493926.0,Jackson Park Express,13088.2,7165.6
W,2001-01-05,2980,11,2001-01-01,3448.7,86887.0,Lincoln/Sedgwick,1667.3,869.5
W,2001-01-04,1105,33,2001-01-01,770.2,16944.0,Mag Mile Express,0.0,0.0
W,2001-01-02,956,43,2001-01-01,1351.0,34213.0,43rd,679.3,354.8
W,2001-01-03,273,90N,2001-01-01,318.9,7412.0,North Harlem,98.7,0.0
W,2001-01-03,14130,36,2001-01-01,15360.0,436950.0,Broadway,13898.6,8687.4
W,2001-01-03,4857,95E,2001-01-01,5787.1,160511.0,93rd-95th,4530.5,3014.3
W,2001-01-05,16656,29,2001-01-01,16328.2,451955.0,State,12511.5,8537.9
W,2001-01-02,1353,86,2001-01-01,1831.2,40287.0,Narragansett/Ridgeland,0.0,0.0
W,2001-01-04,2138,18,2001-01-01,1923.8,49130.0,16th/18th,898.5,642.3
W,2001-01-04,10097,70,2001-01-01,11102.5,301077.0,Division,7625.8,5264.0
W,2001-01-02,11034,76,2001-01-01,13254.3,348404.0,Diversey,8168.3,4827.2
W,2001-01-05,20680,22,2001-01-01,21206.2,577386.0,Clark,14634.5,10462.2
U,2001-01-01,3071,76,2001-01-01,13254.3,348404.0,Diversey,8168.3,4827.2
W,2001-01-04,22725,151,2001-01-01,23604.8,634324.0,Sheridan,14136.3,11694.7
U,2001-01-01,1451,52A,2001-01-01,5919.1,154232.0,South Kedzie,3596.1,1925.5
W,2001-01-02,1223,88,2001-01-01,1721.8,43101.0,Higgins,650.3,523.9
W,2001-01-05,4535,7,2001-01-01,5504.4,121097.0,Harrison,0.0,0.0
U,2001-01-01,1379,145,2001-01-01,8074.3,203232.0,Wilson/Michigan Express,4110.5,1831.2
W,2001-01-02,3588,84,2001-01-01,4357.5,111265.0,Peterson,2418.1,1145.6
W,2001-01-05,7799,14,2001-01-01,8484.3,186655.0,Jeffery Express,0.0,0.0
W,2001-01-03,3450,84,2001-01-01,4357.5,111265.0,Peterson,2418.1,1145.6
W,2001-01-03,9649,146,2001-01-01,9355.1,242849.0,Inner Drive/Michigan Express,5362.4,3117.4
W,2001-01-05,5436,35,2001-01-01,5977.7,153931.0,35th,3342.5,1810.1
W,2001-01-03,21184,20,2001-01-01,21570.3,566683.0,Madison,12804.3,8184.0
W,2001-01-02,691,120,2001-01-01,635.5,13982.0,Ogilvie/Wacker Express,0.0,0.0
W,2001-01-04,837,2,2001-01-01,1000.0,22001.0,Hyde Park Express,0.0,0.0
W,2001-01-04,5159,95W,2001-01-01,5162.6,144468.0,West 95th,4526.5,2556.7
W,2001-01-04,2263,108,2001-01-01,2928.1,64417.0,Halsted/95th,0.0,0.0
W,2001-01-04,3391,30,2001-01-01,3823.5,95218.0,South Chicago,1960.2,652.2
W,2001-01-02,1523,18,2001-01-01,1923.8,49130.0,16th/18th,898.5,642.3
W,2001-01-03,771,171,2001-01-01,864.9,21573.0,U. of Chicago/Hyde Park,413.2,178.3
W,2001-01-02,223,90N,2001-01-01,318.9,7412.0,North Harlem,98.7,0.0
W,2001-01-04,27047,79,2001-01-01,30018.4,833507.0,79th,23808.6,15573.7
W,2001-01-04,1849,88,2001-01-01,1721.8,43101.0,Higgins,650.3,523.9
W,2001-01-03,19299,53,2001-01-01,21726.0,589242.0,Pulaski,15984.4,9466.2
U,2001-01-01,2191,146,2001-01-01,9355.1,242849.0,Inner Drive/Michigan Express,5362.4,3117.4
W,2001-01-04,515,169,2001-01-01,885.9,19704.0,69th-UPS Express,53.7,0.0
W,2001-01-02,19000,4,2001-01-01,22432.2,618796.0,Cottage Grove,17994.0,10662.2
W,2001-01-03,25587,79,2001-01-01,30018.4,833507.0,79th,23808.6,15573.7
W,2001-01-04,4148,90,2001-01-01,3880.4,104289.0,Harlem,3002.1,1382.3
W,2001-01-04,9138,156,2001-01-01,9039.1,198859.0,LaSalle,0.0,0.0
W,2001-01-04,4988,54B,2001-01-01,4775.5,134823.0,South Cicero,4468.6,2377.5
W,2001-01-02,15904,6,2001-01-01,18443.0,493926.0,Jackson Park Express,13088.2,7165.6
W,2001-01-03,2445,37,2001-01-01,2500.6,55014.0,Sedgwick,0.0,0.0
W,2001-01-04,8352,145,2001-01-01,8074.3,203232.0,Wilson/Michigan Express,4110.5,1831.2
W,2001-01-02,601,100,2001-01-01,1167.0,25673.0,Jeffery Manor Express,0.0,0.0
W,2001-01-02,4268,7,2001-01-01,5504.4,121097.0,Harrison,0.0,0.0
W,2001-01-04,1289,203,2001-01-01,1593.3,35053.0,Ridge/Grant,0.0,0.0
W,2001-01-04,665,123,2001-01-01,886.2,19495.0,Illinois Center/Union Express,0.0,0.0
U,2001-01-01,610,11,2001-01-01,3448.7,86887.0,Lincoln/Sedgwick,1667.3,869.5
W,2001-01-05,15896,36,2001-01-01,15360.0,436950.0,Broadway,13898.6,8687.4
W,2001-01-02,426,69,2001-01-01,417.2,8761.0,Cumberland/East River,0.0,0.0
W,2001-01-04,161,173,2001-01-01,253.0,9088.0,U. of Chicago/Lakeview Express,562.1,254.6
W,2001-01-02,24965,79,2001-01-01,30018.4,833507.0,79th,23808.6,15573.7
W,2001-01-04,4895,111,2001-01-01,6074.4,157849.0,Pullman/111th/115th,3474.9,2062.4
W,2001-01-03,742,129,2001-01-01,792.7,17439.0,West Loop/South Loop,0.0,0.0
W,2001-01-04,1173,54A,2001-01-01,1281.3,28188.0,North Cicero/Skokie Blvd.,0.0,0.0
W,2001-01-02,4619,54B,2001-01-01,4775.5,134823.0,South Cicero,4468.6,2377.5
W,2001-01-03,355,170,2001-01-01,287.1,6315.0,U. of Chicago/Midway,0.0,0.0
U,2001-01-01,2484,75,2001-01-01,7081.7,188676.0,74th-75th,4725.3,2795.5
W,2001-01-02,5877,92,2001-01-01,7414.5,191196.0,Foster,4123.2,2316.9
W,2001-01-05,1201,18,2001-01-01,1923.8,49130.0,16th/18th,898.5,642.3
W,2001-01-02,2804,135,2001-01-01,2621.3,57669.0,Clarendon/LaSalle Express,0.0,0.0
W,2001-01-02,5932,71,2001-01-01,7136.7,194863.0,71st/South Shore,5565.3,3119.0
